*** Booting nRF Connect SDK v3.0.2-89ba1294ac9b ***
*** Using Zephyr OS v4.0.99-f791c49f492c ***
Enhanced ShockBurst prx sample
TX Performance test and RSSI value
[PRX] Version: 3 | Build: Jul  2 2025 19:05:39
Board: nrf54l15dk
Device ID: 416016678
Check FEM TX support
FEM TX support: disabled
Using 1 Mbps bitrate
HF clock started
Initialization complete
Setting up for packet receiption
----------------------
ID:3170380583 | Board:nRF54L15DK            | Counter:248 | TX:  8 dBm | RSSI:-35 dBm (Very Good)
ID:3170380583 | Board:nRF54L15DK            | Counter:249 | TX:  8 dBm | RSSI:-35 dBm (Very Good)
ID:3170380583 | Board:nRF54L15DK            | Counter:250 | TX:  8 dBm | RSSI:-43 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter:251 | TX:  8 dBm | RSSI:-40 dBm (Very Good)
ID:3170380583 | Board:nRF54L15DK            | Counter:252 | TX:  8 dBm | RSSI:-50 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter:253 | TX:  8 dBm | RSSI:-35 dBm (Very Good)
ID:3170380583 | Board:nRF54L15DK            | Counter:254 | TX:  8 dBm | RSSI:-35 dBm (Very Good)
ID:3170380583 | Board:nRF54L15DK            | Counter:255 | TX:  8 dBm | RSSI:-38 dBm (Very Good)
ID:3170380583 | Board:nRF54L15DK            | Counter:  0 | TX:  8 dBm | RSSI:-38 dBm (Very Good)
ID:3170380583 | Board:nRF54L15DK            | Counter:  1 | TX:  8 dBm | RSSI:-40 dBm (Very Good)
ID:3170380583 | Board:nRF54L15DK            | Counter:  2 | TX:  8 dBm | RSSI:-46 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter:  3 | TX:  8 dBm | RSSI:-54 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter:  4 | TX:  8 dBm | RSSI:-50 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter:  5 | TX:  8 dBm | RSSI:-49 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter:  6 | TX:  8 dBm | RSSI:-47 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter:  7 | TX:  8 dBm | RSSI:-47 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter:  8 | TX:  8 dBm | RSSI:-50 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter:  9 | TX:  8 dBm | RSSI:-50 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 10 | TX:  8 dBm | RSSI:-45 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 11 | TX:  8 dBm | RSSI:-46 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 12 | TX:  8 dBm | RSSI:-45 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 13 | TX:  8 dBm | RSSI:-46 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 14 | TX:  8 dBm | RSSI:-46 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 15 | TX:  8 dBm | RSSI:-45 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 16 | TX:  8 dBm | RSSI:-47 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 17 | TX:  8 dBm | RSSI:-47 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 18 | TX:  8 dBm | RSSI:-48 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 19 | TX:  8 dBm | RSSI:-47 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 20 | TX:  8 dBm | RSSI:-47 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 21 | TX:  8 dBm | RSSI:-47 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 22 | TX:  8 dBm | RSSI:-47 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 23 | TX:  8 dBm | RSSI:-43 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 24 | TX:  8 dBm | RSSI:-40 dBm (Very Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 25 | TX:  8 dBm | RSSI:-42 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 26 | TX:  8 dBm | RSSI:-42 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 27 | TX:  8 dBm | RSSI:-38 dBm (Very Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 28 | TX:  8 dBm | RSSI:-38 dBm (Very Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 29 | TX:  8 dBm | RSSI:-48 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 30 | TX:  8 dBm | RSSI:-52 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter: 31 | TX:  8 dBm | RSSI:-51 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter: 32 | TX:  8 dBm | RSSI:-38 dBm (Very Good)
ID:3170380583 | Board:nRF54L15DK            | Counter: 33 | TX:  8 dBm | RSSI:-47 dBm (Good)
